visual_type,visual_root_id,dn_type,dn_root_id,hops,path_strength,min_edge_weight,path,edge_weights
T4a,720575940612670361,DNa16,720575940621519130,5,2.109924389422479e-06,0.03272032481490327,T4a -> HSE -> CB0268 -> PS047a -> LAL046 -> DNa16,"0.19101124,0.13500597,0.05814266,0.03272032,0.04300733"
T4a,720575940612670361,DNa16,720575940632962786,5,2.3276475955437442e-06,0.031048483401003104,T4a -> HSE -> CB0268 -> PS047a -> LAL126 -> DNa16,"0.19101124,0.13500597,0.05814266,0.03104848,0.05000000"
T4a,720575940612670361,DNg41,720575940622037926,4,3.903285967911817e-05,0.026032959159302604,T4a -> HSE -> CB0268 -> PS047a -> DNg41,"0.19101124,0.13500597,0.05814266,0.02603296"
T4a,720575940612670361,DNg41,720575940622037926,5,2.2330440664854537e-06,0.026032959159302604,T4a -> HSE -> CB0268 -> PS234 -> PS047a -> DNg41,"0.19101124,0.13500597,0.03768506,0.08826584,0.02603296"
T4a,720575940612670361,DNp15,720575940623431351,4,8.375927760702551e-05,0.03768506056527591,T4a -> HSE -> CB0268 -> PS234 -> DNp15,"0.19101124,0.13500597,0.03768506,0.08618899"
T4a,720575940612670361,DNa16,720575940621519130,4,3.9356768996072224e-05,0.03768506056527591,T4a -> HSE -> CB0268 -> PS234 -> DNa16,"0.19101124,0.13500597,0.03768506,0.04049844"
T4a,720575940622720717,DNa02,720575940629327659,5,1.2990953578346622e-06,0.03593140078070007,T4a -> LPi14 -> Am1 -> LPi15 -> HSS -> DNa02,"0.21739130,0.07950952,0.05190589,0.03593140,0.04029851"
T4a,720575940622720717,DNp18,720575940618440000,5,9.141782147725401e-07,0.028358208955223882,T4a -> LPi14 -> Am1 -> LPi15 -> HSS -> DNp18,"0.21739130,0.07950952,0.05190589,0.03593140,0.02835821"
T4a,720575940622720717,DNg41,720575940636329579,5,8.901208933311575e-07,0.027611940298507463,T4a -> LPi14 -> Am1 -> LPi15 -> HSS -> DNg41,"0.21739130,0.07950952,0.05190589,0.03593140,0.02761194"
T4a,720575940622720717,DNp15,720575940616293855,5,2.32785914201629e-06,0.028956293594419914,T4a -> LPi14 -> Am1 -> LPi15 -> HSE -> DNp15,"0.21739130,0.07950952,0.05190589,0.02895629,0.08960573"
